Bucket label,m/z,Name,Formula,Topical_X401Y338-X415Y353,Topical_X440Y338-X454Y353,Topical_X478Y338-X492Y353,Topical_X516Y338-X530Y353,Topical_X554Y293-X568Y308,Topical_X592Y292-X606Y307,Topical_X630Y293-X644Y308,Topical_X668Y293-X682Y308,Topical_X706Y293-X720Y308,Topical_X744Y293-X758Y308,Topical_X781Y293-X795Y308,Topical_X819Y293-X833Y308,Topical_X554Y337-X568Y352,Topical_X592Y338-X606Y353,Topical_X630Y338-X644Y353,Topical_X667Y338-X681Y353,Topical_X706Y338-X720Y353,Topical_X743Y338-X757Y353,Topical_X781Y338-X795Y353,Topical_X819Y338-X833Y353
Regions,,,,Cons Aveeno,Cons Aveeno,Cons Aveeno,Cons Aveeno,Cons Control,Cons Control,Cons Control,Cons Control,Cons GoldBond,Cons GoldBond,Cons GoldBond,Cons GoldBond,Cons Eucerin,Cons Eucerin,Cons Eucerin,Cons Eucerin,Cons Vaseline,Cons Vaseline,Cons Vaseline,Cons Vaseline
990.3224417266 Da,1013.31402,Maltohexaose,C36H62O31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646.0103836753 Da,647.01752,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680.1178384934 Da,703.107,,,1462473.625,1600583.5,2033129.75,1735839.25,2724025.5,2870559.25,2696919.25,2681693.75,2061664.125,1722047.75,1946063.75,1868674.5,2071537.375,2431532.25,2115221.75,2100808,2339214.75,2792836,2173403.5,1740054.875
261.0867979471 Da,262.09523,,,2681821.25,3211932.25,2127792,1684548.125,2539335.25,2941095,2179209.25,2787836.75,4060644.5,3462528,2905110.5,1884654.875,2760416.5,2694462.25,2326177.25,3840289,2557247.5,2791771.5,1729911.375,1235341.25
651.3934996412 Da,674.38269,,,0,0,0,1137256.875,2428391,2567026.5,3427135,2448920.25,1983538.625,2549857,2481173.25,1881849.375,0,3003498.75,1818595.75,2097870,2799725.25,2690792.25,1375843.25,1600044.625
482.0136336828 Da,505.00292,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318.0583855861 Da,319.06561,,,2278737.5,2401469.25,2399280.75,2158260.75,3658990.25,4010996.75,4502543,3902688.25,2596611.25,2114626.75,1952106.625,1683403.75,3193453.75,3304074.5,3633460.5,3615683.25,1957893,2034156.875,1526432.5,1228512.125
620.0307089955 Da,621.04023,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327.9887237312 Da,328.99471,,,0,48029.26953,0,78950.8125,186055.3594,89118.66406,55274.04688,0,0,110665.9219,0,150308.2969,249833.8281,64773.55859,0,0,0,37724.29688,0,59466.53516
262.0349000876 Da,285.02234,,,768638.5625,880953.875,419354.5,348546.6563,2036858.5,1440064,892775.125,1292547,4031133.25,2025014.25,2178949.25,1051365.75,2144972,1419242.75,1402752,3850631.25,1145465.25,1048270.563,961763.875,460101.3438
701.0301119296 Da,702.03825,,,1090683.625,1697779.125,0,0,1986643.375,2283515.5,2007234.5,2271210,0,1220752.5,0,0,1462913.75,1749400.5,0,2484763.75,0,0,0,0
808.1425098678 Da,847.10776,,,808945.125,883289.9375,1230935,1082745.25,947265.9375,1417932.625,1350131.375,1215975.125,907146.375,861802.75,743415.25,745987.3125,827618.625,1102525.875,1017224.188,855620.1875,854801.75,1039374.563,811703.8125,566760.3125
701.0595874345 Da,740.02475,,,0,0,273906.4063,261646.4375,0,0,0,0,0,102575.6563,0,0,153321.6406,106193.1406,0,0,0,0,0,0
409.0159599861 Da,410.0246,,,739362.4375,856153,736572.75,691072.0625,1199539.25,1400587.5,1232968.25,1215661.75,876153.625,0,0,0,984099.3125,979911.4375,1042130.688,1109065.375,0,0,0,0
1152.3764465462 Da,1175.36814,Maltoheptaose,C42H72O36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
